# This file is built from NewRisingSun's "NES and Famicom Accurate Cartridge Information Database"
# as available here: http://nerdlypleasures.blogspot.com/2020/04/the-nes-and-famicom-accurate-cartridge.html
# Last retrieved on 2020-05-24
# For now, I've just included the data for the US releases.

# Game Name A-Z, PRG-ROM, CHR-ROM, Misc ROM, Mapper, Mirror + Flag, PPU, PRG-RAM, PRG-RAM B, CHR-RAM, CHR-RAM B, Console, Controller, CRC32

# Licensed NA
# -----------
F-117A Stealth Fighter (USA).nes,256,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,0A7E62D4
F-15 Strike Eagle (USA).nes,256,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,0BCAA4D7
Family Feud (USA).nes,32,128,0,1.05,H,RP2C02,0,0,0,0,Normal,Standard,51BEE3EA
Faria - A World of Mystery & Danger! (USA).nes,128,128,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,45F03D2E
Faxanadu (USA) (Rev 1).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,E71DB268
Felix the Cat (USA).nes,128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,2CAAE01C
Ferrari Grand Prix Challenge (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,CE77B4BE
Fester's Quest (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,B6BF5137
Final Fantasy (USA).nes,256,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,CEBD2A31
Fire 'n Ice (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,D534C98E
Fisher-Price - Firehouse Rescue (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,38946C43
Fisher-Price - I Can Remember (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,267DE4CC
Fisher-Price - Perfect Fit (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,B9762DA8
Fist of the North Star (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,06D72C83
Flight of the Intruder (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,F92BE7F2
"Flintstones, The - The Rescue of Dino & Hoppy (USA).nes",128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,2FE20D79
"Flintstones, The - The Surprise at Dinosaur Peak! (USA).nes",128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,DAB84A9C
Flying Dragon - The Secret Scroll (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,F1FED9B8
Flying Warriors (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,10180072
Formula One - Built to Win (USA).nes,128,128,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,5A8B4DA8
Fox's Peter Pan & the Pirates - The Revenge of Captain Hook (USA).nes,128,64,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,20353E63
Frankenstein - The Monster Returns (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,E943EC4D
